number,taxonomy,species,cool_name
412133,cellular organisms|Eukaryota|Parabasalia|Trichomonadida|Trichomonadidae|Trichomonas|Trichomonas vaginalis,Trichomonas vaginalis,Trichomonas vaginalis
184922,cellular organisms|Eukaryota|Fornicata|Diplomonadida|Hexamitidae|Giardiinae|Giardia|Giardia intestinalis,Giardia intestinalis,eukaryota
294381,cellular organisms|Eukaryota|Amoebozoa|Archamoebae|Entamoebidae|Entamoeba|Entamoeba histolytica,Entamoeba histolytica,Entamoeba histolytica
370354,cellular organisms|Eukaryota|Amoebozoa|Archamoebae|Entamoebidae|Entamoeba|Entamoeba dispar,Entamoeba dispar,eukaryota
5762,cellular organisms|Eukaryota|Heterolobosea|Schizopyrenida|Vahlkampfiidae|Naegleria,Naegleria,Naegleria gruberi
5693,cellular organisms|Eukaryota|Euglenozoa|Kinetoplastida|Trypanosomatidae|Trypanosoma|Schizotrypanum,Schizotrypanum,Trypanosoma cruzi
5691,cellular organisms|Eukaryota|Euglenozoa|Kinetoplastida|Trypanosomatidae|Trypanosoma|Trypanozoon,Trypanozoon,trypanosoma
5660,cellular organisms|Eukaryota|Euglenozoa|Kinetoplastida|Trypanosomatidae|Leishmania|Viannia|Leishmania braziliensis,Leishmania braziliensis,Leishmania braziliensis
347515,cellular organisms|Eukaryota|Euglenozoa|Kinetoplastida|Trypanosomatidae|Leishmania|Leishmania|Leishmania major|Leishmania major,Leishmania major,Leishmania major
5671,cellular organisms|Eukaryota|Euglenozoa|Kinetoplastida|Trypanosomatidae|Leishmania|Leishmania|Leishmania donovani,Leishmania donovani,eukaryota
5888,cellular organisms|Eukaryota|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Peniculida|Parameciidae|Paramecium,Paramecium,Paramecium tetraurelia
5911,cellular organisms|Eukaryota|Alveolata|Ciliophora|Intramacronucleata|Oligohymenophorea|Hymenostomatida|Tetrahymenina|Tetrahymenidae|Tetrahymena,Tetrahymena,oligohymenophorea
353151,cellular organisms|Eukaryota|Alveolata|Apicomplexa|Coccidia|Eucoccidiorida|Eimeriorina|Cryptosporidiidae|Cryptosporidium|Cryptosporidium hominis,Cryptosporidium hominis,Cryptosporidium hominis
353152,cellular organisms|Eukaryota|Alveolata|Apicomplexa|Coccidia|Eucoccidiorida|Eimeriorina|Cryptosporidiidae|Cryptosporidium|Cryptosporidium parvum,Cryptosporidium parvum,cryptosporidium
507601,cellular organisms|Eukaryota|Alveolata|Apicomplexa|Coccidia|Eucoccidiorida|Eimeriorina|Sarcocystidae|Toxoplasma|Toxoplasma gondii,Toxoplasma gondii,Toxoplasma gondii
5865,cellular organisms|Eukaryota|Alveolata|Apicomplexa|Aconoidasida|Piroplasmida|Babesiidae|Babesia,Babesia,Babesia bovis
333668,cellular organisms|Eukaryota|Alveolata|Apicomplexa|Aconoidasida|Piroplasmida|Theileriidae|Theileria|Theileria parva,Theileria parva,Theileria parva
5874,cellular organisms|Eukaryota|Alveolata|Apicomplexa|Aconoidasida|Piroplasmida|Theileriidae|Theileria,Theileria,piroplasmida
36329,cellular organisms|Eukaryota|Alveolata|Apicomplexa|Aconoidasida|Haemosporida|Plasmodium|Plasmodium _Laverania_|Plasmodium falciparum,Plasmodium falciparum,Plasmodium falciparum
5855,cellular organisms|Eukaryota|Alveolata|Apicomplexa|Aconoidasida|Haemosporida|Plasmodium|Plasmodium _Plasmodium_,Plasmodium _Plasmodium_,Plasmodium vivax
5851,cellular organisms|Eukaryota|Alveolata|Apicomplexa|Aconoidasida|Haemosporida|Plasmodium|Plasmodium _Plasmodium_|Plasmodium knowlesi,Plasmodium knowlesi,plasmodium
31271,cellular organisms|Eukaryota|Alveolata|Apicomplexa|Aconoidasida|Haemosporida|Plasmodium|Plasmodium _Vinckeia_|Plasmodium chabaudi,Plasmodium chabaudi,Plasmodium chabaudi
352914,cellular organisms|Eukaryota|Alveolata|Apicomplexa|Aconoidasida|Haemosporida|Plasmodium|Plasmodium _Vinckeia_|Plasmodium yoelii|Plasmodium yoelii,Plasmodium yoelii,Plasmodium yoelii
